token,en,zh-Hans,ja,es,de,fr,note
page.about.lede,"Five Bézier strokes, about 4,600 stars streaming toward the core, and a scattered sky that gathers into shape. Every number behind it is a parameter you can move in the full-screen demo.",五条贝塞尔笔画、约 4600 颗向核心流动的星、一片先散开再收拢的天。它背后的每一个数，都是你能在全屏 Demo 里拖动的参数。,"5 本のベジェ曲線、核へ流れ込む約 4,600 個の星、散らばってから形に集まる空。その裏にある数値はすべて、フルスクリーンのデモで動かせるパラメータです。","Cinco trazos Bézier, unas 4.600 estrellas que fluyen hacia el núcleo y un cielo disperso que se recoge en una forma. Cada número detrás es un parámetro que puedes mover en la demo a pantalla completa.","Fünf Bézier-Striche, rund 4.600 Sterne, die zum Kern strömen, und ein verstreuter Himmel, der sich zu einer Form sammelt. Jede Zahl dahinter ist ein Parameter, den du in der Vollbild-Demo verschieben kannst.","Cinq tracés de Bézier, environ 4 600 étoiles qui s’écoulent vers le cœur, et un ciel dispersé qui se rassemble en une forme. Chaque nombre derrière est un paramètre que vous pouvez déplacer dans la démo plein écran.",home: lede under the h1; also the meta description
page.about.open_demo,Open the full-screen demo,打开全屏 Demo,フルスクリーンのデモを開く,Abrir la demo a pantalla completa,Vollbild-Demo öffnen,Ouvrir la démo plein écran,home: primary button
page.about.original,Read the announcement at OpenAI ↗,查看 OpenAI 的发布页 ↗,OpenAI の発表ページを見る ↗,Leer el anuncio en OpenAI ↗,Ankündigung bei OpenAI lesen ↗,Lire l’annonce chez OpenAI ↗,home: external link to https://openai.com/index/gpt-6-astra/
page.about.preview_hint,Running live from the same parameters. Click to open it full screen.,由同一组参数实时渲染。点击打开全屏版本。,同じパラメータでその場で描画しています。クリックで全画面へ。,Renderizado en vivo con los mismos parámetros. Haz clic para abrirlo a pantalla completa.,Live gerendert, aus denselben Parametern. Zum Öffnen im Vollbild klicken.,Rendu en direct à partir des mêmes paramètres. Cliquez pour l’ouvrir en plein écran.,说明页预览的角标：预览是实时画布，不是预渲染的录像
page.about.gpt6_title,About GPT-6,关于 GPT-6,GPT-6 について,Sobre GPT-6,Über GPT-6,À propos de GPT-6,home: section heading
page.about.gpt6_p1,"GPT-6 Astra is the model OpenAI announced on 3 September 2026, first as a limited preview and then, the following day, to paid ChatGPT users and the API. OpenAI describes it as its most capable and most aligned model to date.",GPT-6 Astra 是 OpenAI 于 2026 年 9 月 3 日发布的模型：先面向少量组织预览，次日向 ChatGPT 付费用户与 API 开放。OpenAI 称它是迄今最强、也是对齐得最好的模型。,GPT-6 Astra は OpenAI が 2026 年 9 月 3 日に発表したモデルです。まず限定プレビューとして、翌日には ChatGPT の有料ユーザーと API に提供されました。OpenAI はこれを、これまでで最も高性能かつ最もアラインされたモデルだと説明しています。,"GPT-6 Astra es el modelo que OpenAI anunció el 3 de septiembre de 2026, primero como una vista previa limitada y, al día siguiente, para los usuarios de pago de ChatGPT y la API. OpenAI lo describe como su modelo más capaz y mejor alineado hasta la fecha.","GPT-6 Astra ist das Modell, das OpenAI am 3. September 2026 angekündigt hat, zunächst als begrenzte Vorschau und am Tag darauf für zahlende ChatGPT-Nutzer und die API. OpenAI beschreibt es als sein bislang fähigstes und am besten ausgerichtetes Modell.","GPT-6 Astra est le modèle qu’OpenAI a annoncé le 3 septembre 2026, d’abord en avant-première limitée, puis dès le lendemain pour les utilisateurs payants de ChatGPT et l’API. OpenAI le présente comme son modèle le plus capable et le mieux aligné à ce jour.","home: about GPT-6, paragraph 1 (dates per press coverage of the launch)"
page.about.gpt6_p2,"The largest gains it claims are in agentic work: operating a computer, browsing, software engineering, cybersecurity and science, including several agents working together on long tasks. It is also the first model OpenAI rated at its “critical” cybersecurity level, which is why it rolled out in stages.",它宣称进步最大的是代理式工作：操作电脑、浏览网页、软件工程、网络安全与科学研究，包括多个代理协作完成长任务。它也是第一个被 OpenAI 评为「关键」级网络安全风险的模型，因此采取了分阶段发布。,最も大きな進歩を主張しているのはエージェント的な仕事です。コンピュータの操作、ブラウジング、ソフトウェア工学、サイバーセキュリティ、科学。複数のエージェントが長いタスクに協力して取り組むことも含まれます。また OpenAI がサイバーセキュリティで「クリティカル」水準と評価した最初のモデルでもあり、そのため段階的に展開されました。,"Las mayores mejoras que reivindica están en el trabajo agéntico: manejar un ordenador, navegar, ingeniería de software, ciberseguridad y ciencia, incluidos varios agentes trabajando juntos en tareas largas. También es el primer modelo que OpenAI ha clasificado en su nivel «crítico» de ciberseguridad, y por eso se desplegó por fases.","Die größten Fortschritte beansprucht es bei agentischer Arbeit: einen Computer bedienen, browsen, Software-Engineering, Cybersicherheit und Wissenschaft, einschließlich mehrerer Agenten, die gemeinsam an langen Aufgaben arbeiten. Es ist zudem das erste Modell, das OpenAI auf seiner „kritischen“ Cybersicherheitsstufe eingeordnet hat, weshalb es stufenweise ausgerollt wurde.","Les progrès les plus importants qu’il revendique concernent le travail agentique : utiliser un ordinateur, naviguer, l’ingénierie logicielle, la cybersécurité et la science, y compris plusieurs agents qui coopèrent sur de longues tâches. C’est aussi le premier modèle qu’OpenAI a classé à son niveau « critique » en cybersécurité, d’où un déploiement par étapes.","home: about GPT-6, paragraph 2"
page.about.gpt6_p3,"This site is not about the model. It is about the star field on its announcement page, and about what can be learned by taking that piece apart.",这个站点讲的不是模型本身，而是它发布页上的那片星空，以及把这件作品拆开之后能学到什么。,このサイトはモデルそのものについてではありません。発表ページにある星のフィールドと、その作品を分解して学べることについてです。,Este sitio no trata sobre el modelo. Trata sobre el campo de estrellas de su página de anuncio y sobre lo que se aprende al desmontar esa pieza.,"Auf dieser Seite geht es nicht um das Modell. Es geht um das Sternenfeld auf seiner Ankündigungsseite und darum, was man lernt, wenn man dieses Stück auseinandernimmt.","Ce site ne parle pas du modèle. Il parle du champ d’étoiles de sa page d’annonce, et de ce que l’on apprend en démontant cette pièce.","home: about GPT-6, paragraph 3"
page.about.source_title,Source and provenance,出处与考据,出典と考証,Fuente y procedencia,Quelle und Herkunft,Source et provenance,home: section heading above the verified / rebuilt list
page.about.disclaimer,"An independent study project, not affiliated with or endorsed by OpenAI. GPT-6 and Astra are OpenAI’s names; none of their code is used here.",这是一个独立的研究项目，与 OpenAI 无关，也未获其背书。GPT-6 与 Astra 是 OpenAI 的名称；这里没有使用他们的任何代码。,これは独立した研究プロジェクトであり、OpenAI とは無関係で、その承認も受けていません。GPT-6 と Astra は OpenAI の名称です。彼らのコードはここでは一切使っていません。,"Un proyecto de estudio independiente, sin afiliación ni respaldo de OpenAI. GPT-6 y Astra son nombres de OpenAI; aquí no se usa nada de su código.","Ein unabhängiges Studienprojekt, weder mit OpenAI verbunden noch von OpenAI unterstützt. GPT-6 und Astra sind Namen von OpenAI; nichts von ihrem Code wird hier verwendet.","Un projet d’étude indépendant, sans lien avec OpenAI ni approuvé par lui. GPT-6 et Astra sont des noms d’OpenAI ; aucun de leur code n’est utilisé ici.",home: small print under the provenance list
lang.endonym.en,English,English,English,English,English,English,语言选择器里的语言自称：各语言列填同一个值，因为「日本語」在任何界面语言下都写作「日本語」
lang.endonym.zh_hans,简体中文,简体中文,简体中文,简体中文,简体中文,简体中文,语言选择器里的语言自称：各语言列填同一个值，因为「日本語」在任何界面语言下都写作「日本語」
lang.endonym.ja,日本語,日本語,日本語,日本語,日本語,日本語,语言选择器里的语言自称：各语言列填同一个值，因为「日本語」在任何界面语言下都写作「日本語」
lang.endonym.es,Español,Español,Español,Español,Español,Español,语言选择器里的语言自称：各语言列填同一个值，因为「日本語」在任何界面语言下都写作「日本語」
lang.endonym.de,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,语言选择器里的语言自称：各语言列填同一个值，因为「日本語」在任何界面语言下都写作「日本語」
lang.endonym.fr,Français,Français,Français,Français,Français,Français,语言选择器里的语言自称：各语言列填同一个值，因为「日本語」在任何界面语言下都写作「日本語」
entry.astra.title,GPT-6 Astra · the spiral field,GPT-6 Astra · 星系粒子场,GPT-6 Astra · 渦巻きの星の場,GPT-6 Astra · el campo espiral,GPT-6 Astra · das Spiralfeld,GPT-6 Astra · le champ spiral,entry title
entry.astra.tagline,"Five Bézier strokes of stars, streaming inward",五条贝塞尔笔画上的星，一路向核心流,五本のベジェの筆致に沿って、星が中心へ流れ込む,Cinco trazos Bézier de estrellas fluyendo hacia el centro,"Fünf Bézier-Striche aus Sternen, die nach innen strömen","Cinq traits de Bézier faits d’étoiles, qui filent vers le centre",entry tagline
entry.astra.summary,"The hero of OpenAI’s GPT-6 Astra page is a galaxy of about 4,600 points. Its five arms are Bézier strokes read from a small SVG, the stars stream along them toward the core, and the whole field first appears scattered across the screen before swinging into place.",OpenAI GPT-6 Astra 页面的主视觉是一片约 4600 个点的星系：五条臂是一张小 SVG 里的贝塞尔笔画，星沿着笔画向核心流动，整片星空先散布在整个屏幕上，再一边摆动一边收拢成形。,"OpenAI の GPT-6 Astra ページのヒーローは約 4,600 点からなる銀河。五本の腕は小さな SVG のベジェの筆致で、星はそれに沿って中心へ流れ、星の場はまず画面全体に散らばってから揺れながら定位置に収まる。","El héroe de la página GPT-6 Astra de OpenAI es una galaxia de unos 4.600 puntos. Sus cinco brazos son trazos Bézier leídos de un pequeño SVG, las estrellas fluyen por ellos hacia el núcleo y todo el campo aparece primero disperso por la pantalla antes de balancearse hasta su sitio.","Der Hero der GPT-6-Astra-Seite von OpenAI ist eine Galaxie aus rund 4.600 Punkten. Ihre fünf Arme sind Bézier-Striche aus einem kleinen SVG, die Sterne strömen an ihnen entlang zum Kern, und das ganze Feld erscheint zuerst über den Bildschirm verstreut, bevor es schwingend an seinen Platz findet.","Le visuel principal de la page GPT-6 Astra d’OpenAI est une galaxie d’environ 4 600 points. Ses cinq bras sont des traits de Bézier lus dans un petit SVG, les étoiles y filent vers le noyau, et tout le champ apparaît d’abord dispersé sur l’écran avant de se balancer jusqu’à sa place.",entry summary
astra.hint,Drag to tilt the star field; it settles back when you let go.,拖动可以倾斜整片星场，松手后会自己回正。,ドラッグで星の場を傾けられます。放すと元の向きに戻ります。,Arrastra para inclinar el campo de estrellas; vuelve a su sitio al soltar.,Ziehen kippt das Sternenfeld; loslassen lässt es zurückschwingen.,Faites glisser pour incliner le champ d’étoiles ; il se redresse quand vous relâchez.,demo hint
astra.ctl.density,Star density,星的密度,星の密度,Densidad de estrellas,Sterndichte,Densité d’étoiles,slider
astra.ctl.flow,Flow speed v,流速 v,流れの速さ v,Velocidad de flujo v,Strömungsgeschwindigkeit v,Vitesse du flux v,slider
astra.ctl.scatter,Arm width σ,臂宽 σ,腕の幅 σ,Anchura del brazo σ,Armbreite σ,Largeur du bras σ,slider
astra.ctl.falloff,Crowding U,向中段挤 U,中央への寄せ U,Agrupamiento U,Verdichtung U,Resserrement U,slider
astra.ctl.size,Star size S,星的尺寸 S,星の大きさ S,Tamaño de estrella S,Sterngröße S,Taille des étoiles S,slider
astra.ctl.intensity,Intensity I,亮度 I,明るさ I,Intensidad I,Intensität I,Intensité I,slider
astra.ctl.size_falloff,Tip shrink,两端收细,端の細り,Afinado en los extremos,Verjüngung an den Enden,Amincissement aux bouts,slider
astra.ctl.twinkle,Twinkle rate ω,闪烁频率 ω,またたきの速さ ω,Ritmo de parpadeo ω,Funkelrate ω,Rythme du scintillement ω,slider
astra.ctl.bloom,Bloom,泛光,ブルーム,Resplandor,Bloom,Halo lumineux,slider
astra.ctl.intro,Entrance T,入场时长 T,登場の長さ T,Duración de entrada T,Eintrittsdauer T,Durée d’entrée T,slider
astra.ctl.depth,Depth relief D,纵深起伏 D,奥行きの起伏 D,Relieve de profundidad D,Tiefenrelief D,Relief de profondeur D,slider
astra.ctl.core_spin,Core spin Ω,核心自转 Ω,コアの自転 Ω,Giro del núcleo Ω,Kernrotation Ω,Rotation du noyau Ω,slider
astra.m.glyph.title,"Five strokes, not a spiral formula",五条笔画，不是螺旋公式,五本の筆致、渦巻きの式ではない,"Cinco trazos, no una fórmula espiral","Fünf Striche, keine Spiralformel","Cinq traits, pas une formule de spirale",math title
astra.m.glyph.vars,"B_k the k-th cubic Bézier stroke of a 231 × 325 SVG · c its centre (114.973, 211.36) · u arc-length fraction along the stroke · d_k per-stroke depth amplitude · D depth relief · H how much of the viewport height the glyph spans","B_k：一张 231×325 SVG 里的第 k 条三次贝塞尔笔画 · c：它的中心 (114.973, 211.36) · u：沿笔画的弧长比例 · d_k：每条笔画的纵深幅度 · D：纵深起伏 · H：字形占视口高度的比例","B_k：231×325 の SVG に含まれる k 番目の三次ベジェの筆致 · c：その中心 (114.973, 211.36) · u：筆致に沿った弧長の割合 · d_k：筆致ごとの奥行きの振幅 · D：奥行きの起伏 · H：字形がビューポートの高さに占める割合","B_k el k-ésimo trazo Bézier cúbico de un SVG de 231 × 325 · c su centro (114,973, 211,36) · u fracción de longitud de arco a lo largo del trazo · d_k amplitud de profundidad de cada trazo · D relieve de profundidad · H qué parte de la altura de la ventana ocupa el glifo","B_k der k-te kubische Bézier-Strich eines 231 × 325 großen SVG · c sein Zentrum (114,973, 211,36) · u Bogenlängenanteil entlang des Strichs · d_k Tiefenamplitude je Strich · D Tiefenrelief · H Anteil der Viewporthöhe, den die Glyphe einnimmt","B_k le k-ième trait de Bézier cubique d’un SVG de 231 × 325 · c son centre (114,973, 211,36) · u fraction de longueur d’arc le long du trait · d_k amplitude de profondeur du trait · D relief de profondeur · H part de la hauteur de la fenêtre occupée par le glyphe",math vars
astra.m.glyph.note,"No spiral equation produces this shape. The arms are five hand-drawn Bézier strokes in a small SVG, mapped to world units by 9.7/325 and shown in a frame 10.9 units tall with the camera lifted 1.2 units, so the core sits 11% below the middle of the viewport. Each stroke is resampled by arc length into 512 points; the z relief only shows when you tilt the field.",没有哪条螺旋方程画得出这个形状。五条臂是一张小 SVG 上手绘的贝塞尔笔画，按 9.7/325 换算成世界单位，装进一个 10.9 个单位高的画面里，相机抬高 1.2 个单位，所以核心落在视口中线偏下 11% 处。每条笔画按弧长重采样成 512 个点；z 方向的起伏只有在拖动倾斜时才看得见。,この形を作れる渦巻きの方程式はない。腕は小さな SVG に手描きされた五本のベジェの筆致で、9.7/325 でワールド単位に変換され、高さ 10.9 単位の画面に収められる。カメラは 1.2 単位持ち上げられているので、コアはビューポート中央から 11% 下に落ち着く。各筆致は弧長で 512 点に再サンプルされ、z の起伏は傾けたときにだけ見える。,"Ninguna ecuación espiral produce esta forma. Los brazos son cinco trazos Bézier dibujados a mano en un pequeño SVG, convertidos a unidades de mundo con 9,7/325 y mostrados en un marco de 10,9 unidades de alto con la cámara elevada 1,2 unidades, de modo que el núcleo queda un 11 % por debajo del centro de la ventana. Cada trazo se remuestrea por longitud de arco en 512 puntos; el relieve en z solo se ve al inclinar el campo.","Keine Spiralgleichung erzeugt diese Form. Die Arme sind fünf handgezeichnete Bézier-Striche aus einem kleinen SVG, mit 9,7/325 in Welteinheiten umgerechnet und in einem 10,9 Einheiten hohen Rahmen gezeigt, dessen Kamera um 1,2 Einheiten angehoben ist – der Kern sitzt daher 11 % unter der Viewportmitte. Jeder Strich wird nach Bogenlänge in 512 Punkte abgetastet; das z-Relief zeigt sich nur beim Kippen des Feldes.","Aucune équation de spirale ne donne cette forme. Les bras sont cinq traits de Bézier dessinés à la main dans un petit SVG, convertis en unités monde par 9,7/325 et affichés dans un cadre de 10,9 unités de haut avec la caméra relevée de 1,2 unité : le noyau se place donc 11 % sous le milieu de la fenêtre. Chaque trait est rééchantillonné par longueur d’arc en 512 points ; le relief en z n’apparaît qu’en inclinant le champ.",math note
astra.m.stars.title,Scattering stars along a stroke,沿笔画撒星,筆致に沿って星をまく,Esparcir estrellas a lo largo del trazo,Sterne entlang des Strichs streuen,Semer les étoiles le long du trait,math title
astra.m.stars.vars,"i uniform position along the stroke · U how strongly stars crowd toward the middle · w(s) the width at that point · σ arm width · u, u₁, u₂ uniform random numbers · δ across-stroke offset, triangular · N_k stars on stroke k (220 or 170 per unit of density) · N_bg extra stars left in the sky",i：沿笔画的均匀位置 · U：星往中段挤的程度 · w(s)：该处的宽度 · σ：臂宽 · u、u₁、u₂：均匀随机数 · δ：横向偏移，三角分布 · N_k：第 k 条笔画上的星数（每单位密度 220 或 170 颗） · N_bg：留在天上的额外星数,"i：筆致に沿った一様な位置 · U：星が中央へ寄る強さ · w(s)：その位置の幅 · σ：腕の幅 · u, u₁, u₂：一様乱数 · δ：筆致を横切る三角分布のずれ · N_k：k 番目の筆致の星数（密度 1 あたり 220 または 170） · N_bg：空に残る追加の星","i posición uniforme a lo largo del trazo · U cuánto se agrupan las estrellas hacia el centro · w(s) anchura en ese punto · σ anchura del brazo · u, u₁, u₂ números aleatorios uniformes · δ desplazamiento transversal, triangular · N_k estrellas en el trazo k (220 o 170 por unidad de densidad) · N_bg estrellas extra que quedan en el cielo","i gleichverteilte Position entlang des Strichs · U wie stark die Sterne zur Mitte drängen · w(s) Breite an dieser Stelle · σ Armbreite · u, u₁, u₂ gleichverteilte Zufallszahlen · δ Querversatz, dreiecksverteilt · N_k Sterne auf Strich k (220 oder 170 je Dichteeinheit) · N_bg zusätzliche Sterne, die am Himmel bleiben","i position uniforme le long du trait · U force du resserrement vers le milieu · w(s) largeur en ce point · σ largeur du bras · u, u₁, u₂ nombres aléatoires uniformes · δ décalage transversal, triangulaire · N_k étoiles sur le trait k (220 ou 170 par unité de densité) · N_bg étoiles supplémentaires laissées dans le ciel",math vars
astra.m.stars.note,"A uniform position is bent toward the middle of the stroke by a sine term, so both ends thin out. The across-stroke offset is triangular, not Gaussian, and its width follows the same sine: narrow at the tips, up to σ in the middle. Three of the five strokes are “strong” and get 220 stars per unit of density, the other two 170.",均匀的位置先被一个正弦项往笔画中段弯，所以两端自然变稀。横向偏移是三角分布而不是高斯，宽度也跟着同一个正弦走：两端窄，中段最宽到 σ。五条笔画里三条是「强臂」，每单位密度撒 220 颗，另两条 170 颗。,一様な位置は正弦項で筆致の中央へ曲げられ、両端は自然に薄くなる。筆致を横切るずれはガウスではなく三角分布で、その幅も同じ正弦に従う。端では狭く、中央で最大 σ。五本のうち三本は「強い腕」で密度 1 あたり 220 個、残り二本は 170 個。,"Una posición uniforme se curva hacia el centro del trazo con un término seno, así que ambos extremos se aclaran. El desplazamiento transversal es triangular, no gaussiano, y su anchura sigue el mismo seno: estrecho en las puntas, hasta σ en el centro. Tres de los cinco trazos son «fuertes» y reciben 220 estrellas por unidad de densidad; los otros dos, 170.","Eine gleichverteilte Position wird durch einen Sinusterm zur Strichmitte gebogen, sodass beide Enden ausdünnen. Der Querversatz ist dreiecks-, nicht gaußverteilt, und seine Breite folgt demselben Sinus: schmal an den Spitzen, bis zu σ in der Mitte. Drei der fünf Striche sind „stark“ und erhalten 220 Sterne je Dichteeinheit, die anderen zwei 170.","Une position uniforme est infléchie vers le milieu du trait par un terme en sinus, si bien que les deux bouts s’éclaircissent. Le décalage transversal est triangulaire, pas gaussien, et sa largeur suit le même sinus : étroit aux pointes, jusqu’à σ au milieu. Trois des cinq traits sont « forts » et reçoivent 220 étoiles par unité de densité, les deux autres 170.",math note
astra.m.hero.title,Hero stars,主星,主役の星,Estrellas principales,Hauptsterne,Étoiles vedettes,math title
astra.m.hero.vars,"h_k chance of a hero star on stroke k (8.5% strong, 5.5% weak), scaled by the same sine · S star size · ⌀ point scale before the pixel mapping · L brightness · N total stars · the largest star of each stroke is raised further and becomes a lens-flare source",h_k：第 k 条笔画上出主星的概率（强臂 8.5%，弱臂 5.5%），再乘同一个正弦 · S：星的尺寸 · ⌀：换算成像素前的点尺度 · L：亮度 · N：总星数 · 每条笔画最大的一颗再抬高，成为镜头光晕的光源,h_k：k 番目の筆致で主役の星が出る確率（強い腕 8.5%、弱い腕 5.5%）、同じ正弦を掛ける · S：星の大きさ · ⌀：ピクセル変換前の点の尺度 · L：明るさ · N：星の総数 · 各筆致で最大の星はさらに持ち上げられ、レンズフレアの光源になる,"h_k probabilidad de estrella principal en el trazo k (8,5 % fuerte, 5,5 % débil), escalada por el mismo seno · S tamaño de estrella · ⌀ escala del punto antes de pasar a píxeles · L brillo · N estrellas totales · la estrella mayor de cada trazo se eleva aún más y se convierte en fuente de destello","h_k Wahrscheinlichkeit eines Hauptsterns auf Strich k (8,5 % stark, 5,5 % schwach), mit demselben Sinus skaliert · S Sterngröße · ⌀ Punktmaß vor der Pixelabbildung · L Helligkeit · N Sterne insgesamt · der größte Stern jedes Strichs wird weiter angehoben und zur Lens-Flare-Quelle","h_k probabilité d’une étoile vedette sur le trait k (8,5 % fort, 5,5 % faible), pondérée par le même sinus · S taille des étoiles · ⌀ échelle du point avant passage en pixels · L luminosité · N étoiles au total · la plus grande étoile de chaque trait est encore relevée et devient une source de reflet",math vars
astra.m.hero.note,"Most stars are small: size 0.12 + 0.68·u^2.4 keeps them near the floor. A few percent are hero stars, five to seven times bigger and two to three times brighter, and they carry the look. Weak strokes are dimmed to 82%. This is why the field reads as crowded pinpoints with a handful of bright beads, not as a uniform dust.",大多数星都很小：0.12 + 0.68·u^2.4 把尺寸压在下限附近。只有几个百分点是主星，大五到七倍、亮两到三倍，画面的感觉全靠它们。弱臂整体压暗到 82%。所以这片星空读起来是「密密的小点 + 零星的亮珠」，而不是一层均匀的尘。,ほとんどの星は小さい。0.12 + 0.68·u^2.4 が大きさを下限近くに抑える。数パーセントだけが主役の星で、五〜七倍大きく、二〜三倍明るく、見た目はそれが担う。弱い腕は 82% に落とされる。だからこの場は「密集した点＋わずかな明るい粒」に見え、一様な塵には見えない。,"La mayoría de las estrellas son pequeñas: el tamaño 0,12 + 0,68·u^2,4 las mantiene cerca del mínimo. Solo unas pocas por ciento son principales, cinco a siete veces mayores y dos a tres veces más brillantes, y son las que dan el aspecto. Los trazos débiles se atenúan al 82 %. Por eso el campo se lee como puntitos apretados con un puñado de cuentas brillantes, no como un polvo uniforme.","Die meisten Sterne sind klein: die Größe 0,12 + 0,68·u^2,4 hält sie nahe am Minimum. Nur wenige Prozent sind Hauptsterne, fünf- bis siebenmal größer und zwei- bis dreimal heller – sie tragen den Look. Schwache Striche werden auf 82 % gedimmt. Deshalb liest sich das Feld als dicht gedrängte Punkte mit einer Handvoll heller Perlen, nicht als gleichmäßiger Staub.","La plupart des étoiles sont petites : la taille 0,12 + 0,68·u^2,4 les garde près du plancher. Quelques pour cent seulement sont des vedettes, cinq à sept fois plus grandes et deux à trois fois plus lumineuses, et ce sont elles qui font l’image. Les traits faibles sont atténués à 82 %. Voilà pourquoi le champ se lit comme des points serrés avec une poignée de perles brillantes, et non comme une poussière uniforme.",math note
astra.m.color.title,Five colours by threshold,五色调色板,しきい値で選ぶ五色,Cinco colores por umbral,Fünf Farben nach Schwelle,Cinq couleurs par seuil,math title
astra.m.color.vars,"u a uniform draw from a second random stream · c₀…c₄ light blue, blue, orange, light orange, white · E the energy boost for saturated colours · I intensity",u：来自第二条随机序列的均匀抽样 · c₀…c₄：浅蓝、蓝、橙、浅橙、白 · E：饱和色的能量补偿 · I：亮度,u：二つ目の乱数列からの一様な抽選 · c₀…c₄：薄い青、青、橙、薄い橙、白 · E：飽和色へのエネルギー補正 · I：明るさ,"u extracción uniforme de una segunda secuencia aleatoria · c₀…c₄ azul claro, azul, naranja, naranja claro, blanco · E refuerzo de energía para los colores saturados · I intensidad","u gleichverteilte Ziehung aus einem zweiten Zufallsstrom · c₀…c₄ Hellblau, Blau, Orange, Hellorange, Weiß · E Energiezuschlag für gesättigte Farben · I Intensität","u tirage uniforme d’une seconde suite aléatoire · c₀…c₄ bleu clair, bleu, orange, orange clair, blanc · E renfort d’énergie pour les couleurs saturées · I intensité",math vars
